"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"01.01.2020 00:00 - 01.01.2020 00:15","9573","11186"
"01.01.2020 00:15 - 01.01.2020 00:30","9593","11207"
"01.01.2020 00:30 - 01.01.2020 00:45","9583","11237"
"01.01.2020 00:45 - 01.01.2020 01:00","9501","11229"
"01.01.2020 01:00 - 01.01.2020 01:15","9409","11222"
"01.01.2020 01:15 - 01.01.2020 01:30","9359","11243"
"01.01.2020 01:30 - 01.01.2020 01:45","9299","11183"
"01.01.2020 01:45 - 01.01.2020 02:00","9203","11089"
"01.01.2020 02:00 - 01.01.2020 02:15","9131","11061"
"01.01.2020 02:15 - 01.01.2020 02:30","9098","11035"
"01.01.2020 02:30 - 01.01.2020 02:45","9065","10973"
"01.01.2020 02:45 - 01.01.2020 03:00","9038","10868"
"01.01.2020 03:00 - 01.01.2020 03:15","9008","10812"
"01.01.2020 03:15 - 01.01.2020 03:30","9001","10730"
"01.01.2020 03:30 - 01.01.2020 03:45","8991","10637"
"01.01.2020 03:45 - 01.01.2020 04:00","8985","10565"
"01.01.2020 04:00 - 01.01.2020 04:15","9010","10537"
"01.01.2020 04:15 - 01.01.2020 04:30","9048","10497"
"01.01.2020 04:30 - 01.01.2020 04:45","9087","10470"
"01.01.2020 04:45 - 01.01.2020 05:00","9147","10453"
"01.01.2020 05:00 - 01.01.2020 05:15","9230","10536"
"01.01.2020 05:15 - 01.01.2020 05:30","9345","10552"
"01.01.2020 05:30 - 01.01.2020 05:45","9473","10602"
"01.01.2020 05:45 - 01.01.2020 06:00","9640","10629"
"01.01.2020 06:00 - 01.01.2020 06:15","9856","10698"
"01.01.2020 06:15 - 01.01.2020 06:30","10156","10747"
"01.01.2020 06:30 - 01.01.2020 06:45","10434","10817"
"01.01.2020 06:45 - 01.01.2020 07:00","10721","10863"
"01.01.2020 07:00 - 01.01.2020 07:15","11043","10981"
"01.01.2020 07:15 - 01.01.2020 07:30","11468","11053"
"01.01.2020 07:30 - 01.01.2020 07:45","11873","11126"
"01.01.2020 07:45 - 01.01.2020 08:00","12217","11205"
"01.01.2020 08:00 - 01.01.2020 08:15","12498","11310"
"01.01.2020 08:15 - 01.01.2020 08:30","12752","11397"
"01.01.2020 08:30 - 01.01.2020 08:45","12858","11427"
"01.01.2020 08:45 - 01.01.2020 09:00","12850","11439"
"01.01.2020 09:00 - 01.01.2020 09:15","12902","11535"
"01.01.2020 09:15 - 01.01.2020 09:30","13030","11657"
"01.01.2020 09:30 - 01.01.2020 09:45","13101","11765"
"01.01.2020 09:45 - 01.01.2020 10:00","13148","11886"
"01.01.2020 10:00 - 01.01.2020 10:15","13185","12023"
"01.01.2020 10:15 - 01.01.2020 10:30","13154","12140"
"01.01.2020 10:30 - 01.01.2020 10:45","13090","12217"
"01.01.2020 10:45 - 01.01.2020 11:00","12998","12315"
"01.01.2020 11:00 - 01.01.2020 11:15","12931","12398"
"01.01.2020 11:15 - 01.01.2020 11:30","12884","12452"
"01.01.2020 11:30 - 01.01.2020 11:45","12819","12491"
"01.01.2020 11:45 - 01.01.2020 12:00","12796","12524"
"01.01.2020 12:00 - 01.01.2020 12:15","12803","12576"
"01.01.2020 12:15 - 01.01.2020 12:30","12772","12605"
"01.01.2020 12:30 - 01.01.2020 12:45","12741","12618"
"01.01.2020 12:45 - 01.01.2020 13:00","12736","12644"
"01.01.2020 13:00 - 01.01.2020 13:15","12751","12657"
"01.01.2020 13:15 - 01.01.2020 13:30","12721","12682"
"01.01.2020 13:30 - 01.01.2020 13:45","12702","12664"
"01.01.2020 13:45 - 01.01.2020 14:00","12868","12713"
"01.01.2020 14:00 - 01.01.2020 14:15","12932","12739"
"01.01.2020 14:15 - 01.01.2020 14:30","12983","12794"
"01.01.2020 14:30 - 01.01.2020 14:45","13020","12793"
