"Time (CET)","Day-ahead Total Load Forecast [MW] - Poland (PL)","Actual Total Load [MW] - Poland (PL)"
"01.01.2020 00:00 - 01.01.2020 01:00","15000","14602"
"01.01.2020 01:00 - 01.01.2020 02:00","14400","14053"
"01.01.2020 02:00 - 01.01.2020 03:00","13800","13564"
"01.01.2020 03:00 - 01.01.2020 04:00","13400","13112"
"01.01.2020 04:00 - 01.01.2020 05:00","13200","12943"
"01.01.2020 05:00 - 01.01.2020 06:00","13100","12970"
"01.01.2020 06:00 - 01.01.2020 07:00","13300","13125"
"01.01.2020 07:00 - 01.01.2020 08:00","13100","13036"
"01.01.2020 08:00 - 01.01.2020 09:00","13300","12978"
"01.01.2020 09:00 - 01.01.2020 10:00","13900","13483"
"01.01.2020 10:00 - 01.01.2020 11:00","14500","14095"
"01.01.2020 11:00 - 01.01.2020 12:00","15000","14645"
"01.01.2020 12:00 - 01.01.2020 13:00","15400","15127"
"01.01.2020 13:00 - 01.01.2020 14:00","15700","15676"
"01.01.2020 14:00 - 01.01.2020 15:00","15700","15779"
"01.01.2020 15:00 - 01.01.2020 16:00","16400","15865"
"01.01.2020 16:00 - 01.01.2020 17:00","17500","17043"
"01.01.2020 17:00 - 01.01.2020 18:00","17600","17353"
"01.01.2020 18:00 - 01.01.2020 19:00","17700","17432"
"01.01.2020 19:00 - 01.01.2020 20:00","17700","17496"
"01.01.2020 20:00 - 01.01.2020 21:00","17400","17223"
"01.01.2020 21:00 - 01.01.2020 22:00","16600","16507"
"01.01.2020 22:00 - 01.01.2020 23:00","15900","15783"
"01.01.2020 23:00 - 02.01.2020 00:00","14800","14801"
"02.01.2020 00:00 - 02.01.2020 01:00","13875","13978"
"02.01.2020 01:00 - 02.01.2020 02:00","13447","13549"
"02.01.2020 02:00 - 02.01.2020 03:00","13247","13335"
"02.01.2020 03:00 - 02.01.2020 04:00","13325","13273"
"02.01.2020 04:00 - 02.01.2020 05:00","13727","13679"
"02.01.2020 05:00 - 02.01.2020 06:00","14804","14682"
"02.01.2020 06:00 - 02.01.2020 07:00","17128","17356"
"02.01.2020 07:00 - 02.01.2020 08:00","19225","19426"
"02.01.2020 08:00 - 02.01.2020 09:00","20399","20505"
"02.01.2020 09:00 - 02.01.2020 10:00","21202","21299"
"02.01.2020 10:00 - 02.01.2020 11:00","21460","21491"
"02.01.2020 11:00 - 02.01.2020 12:00","21723","21543"
"02.01.2020 12:00 - 02.01.2020 13:00","21860","21551"
"02.01.2020 13:00 - 02.01.2020 14:00","21939","21821"
"02.01.2020 14:00 - 02.01.2020 15:00","21658","21644"
"02.01.2020 15:00 - 02.01.2020 16:00","21822","21688"
"02.01.2020 16:00 - 02.01.2020 17:00","22663","22767"
"02.01.2020 17:00 - 02.01.2020 18:00","22633","22699"
"02.01.2020 18:00 - 02.01.2020 19:00","22355","22517"
"02.01.2020 19:00 - 02.01.2020 20:00","22203","22338"
"02.01.2020 20:00 - 02.01.2020 21:00","21600","21806"
"02.01.2020 21:00 - 02.01.2020 22:00","20297","20555"
"02.01.2020 22:00 - 02.01.2020 23:00","18843","19284"
"02.01.2020 23:00 - 03.01.2020 00:00","17261","18067"
"03.01.2020 00:00 - 03.01.2020 01:00","15919","16949"
"03.01.2020 01:00 - 03.01.2020 02:00","15268","16369"
"03.01.2020 02:00 - 03.01.2020 03:00","14990","16036"
"03.01.2020 03:00 - 03.01.2020 04:00","14987","15998"
"03.01.2020 04:00 - 03.01.2020 05:00","15199","16209"
"03.01.2020 05:00 - 03.01.2020 06:00","15959","17022"
"03.01.2020 06:00 - 03.01.2020 07:00","18155","19142"
"03.01.2020 07:00 - 03.01.2020 08:00","20048","20780"
"03.01.2020 08:00 - 03.01.2020 09:00","21041","21490"
"03.01.2020 09:00 - 03.01.2020 10:00","21596","21818"
"03.01.2020 10:00 - 03.01.2020 11:00","21653","21889"
