"Time (CET)","Day-ahead Total Load Forecast [MW] - Sweden (SE)","Actual Total Load [MW] - Sweden (SE)"
"01.01.2020 00:00 - 01.01.2020 01:00","15056","14957"
"01.01.2020 01:00 - 01.01.2020 02:00","14818","14860"
"01.01.2020 02:00 - 01.01.2020 03:00","14592","14595"
"01.01.2020 03:00 - 01.01.2020 04:00","14408","14204"
"01.01.2020 04:00 - 01.01.2020 05:00","14368","14263"
"01.01.2020 05:00 - 01.01.2020 06:00","14455","14257"
"01.01.2020 06:00 - 01.01.2020 07:00","14607","14453"
"01.01.2020 07:00 - 01.01.2020 08:00","14872","14888"
"01.01.2020 08:00 - 01.01.2020 09:00","15083","15327"
"01.01.2020 09:00 - 01.01.2020 10:00","15306","15502"
"01.01.2020 10:00 - 01.01.2020 11:00","15635","15972"
"01.01.2020 11:00 - 01.01.2020 12:00","15906","16400"
"01.01.2020 12:00 - 01.01.2020 13:00","16048","16540"
"01.01.2020 13:00 - 01.01.2020 14:00","16112","16734"
"01.01.2020 14:00 - 01.01.2020 15:00","16390","16879"
"01.01.2020 15:00 - 01.01.2020 16:00","16881","17391"
"01.01.2020 16:00 - 01.01.2020 17:00","17369","18043"
"01.01.2020 17:00 - 01.01.2020 18:00","17472","18140"
"01.01.2020 18:00 - 01.01.2020 19:00","17287","17732"
"01.01.2020 19:00 - 01.01.2020 20:00","16938","17425"
"01.01.2020 20:00 - 01.01.2020 21:00","16508","16945"
"01.01.2020 21:00 - 01.01.2020 22:00","16007","16420"
"01.01.2020 22:00 - 01.01.2020 23:00","15507","15636"
"01.01.2020 23:00 - 02.01.2020 00:00","14994","15063"
"02.01.2020 00:00 - 02.01.2020 01:00","15080","14549"
"02.01.2020 01:00 - 02.01.2020 02:00","14855","14297"
"02.01.2020 02:00 - 02.01.2020 03:00","14736","14233"
"02.01.2020 03:00 - 02.01.2020 04:00","14761","14405"
"02.01.2020 04:00 - 02.01.2020 05:00","14914","14555"
"02.01.2020 05:00 - 02.01.2020 06:00","15476","15104"
"02.01.2020 06:00 - 02.01.2020 07:00","16711","16317"
"02.01.2020 07:00 - 02.01.2020 08:00","17948","17047"
"02.01.2020 08:00 - 02.01.2020 09:00","18562","17795"
"02.01.2020 09:00 - 02.01.2020 10:00","18630","18095"
"02.01.2020 10:00 - 02.01.2020 11:00","18819","18313"
"02.01.2020 11:00 - 02.01.2020 12:00","18750","18515"
"02.01.2020 12:00 - 02.01.2020 13:00","18642","18609"
"02.01.2020 13:00 - 02.01.2020 14:00","18568","18632"
"02.01.2020 14:00 - 02.01.2020 15:00","18657","18718"
"02.01.2020 15:00 - 02.01.2020 16:00","19041","19286"
"02.01.2020 16:00 - 02.01.2020 17:00","19393","19513"
"02.01.2020 17:00 - 02.01.2020 18:00","19420","19562"
"02.01.2020 18:00 - 02.01.2020 19:00","19085","19116"
"02.01.2020 19:00 - 02.01.2020 20:00","18628","18563"
"02.01.2020 20:00 - 02.01.2020 21:00","18112","17908"
"02.01.2020 21:00 - 02.01.2020 22:00","17437","17158"
"02.01.2020 22:00 - 02.01.2020 23:00","16701","16359"
"02.01.2020 23:00 - 03.01.2020 00:00","15976","15520"
"03.01.2020 00:00 - 03.01.2020 01:00","15144","15228"
"03.01.2020 01:00 - 03.01.2020 02:00","14856","14901"
"03.01.2020 02:00 - 03.01.2020 03:00","14710","14865"
"03.01.2020 03:00 - 03.01.2020 04:00","14692","14695"
"03.01.2020 04:00 - 03.01.2020 05:00","14829","14772"
"03.01.2020 05:00 - 03.01.2020 06:00","15439","15333"
"03.01.2020 06:00 - 03.01.2020 07:00","16830","16148"
"03.01.2020 07:00 - 03.01.2020 08:00","18340","17433"
"03.01.2020 08:00 - 03.01.2020 09:00","18982","18107"
